상품명	출판사/제작사	저자/아티스트	대여상태
원피스 학원 1	대원씨아이(만화)	 코지 쇼헤이 지음, 오다 에이치로 원작 	0
누가 이 침대를 쓰고 있었든	문학동네	 레이먼드 카버 지음, 정영목 옮김 	0
흑집사 32	학산문화사(만화)	야나 토보소 지음	0
부자 아빠 가난한 아빠 1 (20주년 특별 기념판)	민음인	 로버트 기요사키 지음, 안진환 옮김 	1
10배의 법칙	부키	 그랜트 카돈 지음, 최은아 옮김 	0
총 균 쇠 (리커버 특별판)	문학사상	 제레드 다이아몬드 지음, 김진준 옮김 	0
사람을 얻는 지혜 (스페인어 원전 완역본)	현대지성	 발타자르 그라시안 지음, 김유경 옮김 	0
웰씽킹 WEALTHINKING (양장)	다산북스	켈리 최 지음	0
클루지	갤리온	 개리 마커스 지음, 최호영 옮김 	0
사이언스 2023	비룡소	 내셔널지오그래픽 키즈 지음, 이한음.김아림 옮김 	1
위어드	21세기북스	 조지프 헨릭 지음, 유강은 옮김 	0
호텔 이야기	토스트	임경선 지음	0
머니 트렌드 2023	북모먼트	부동산읽어주는남자(정태익) 외 지음	0
나의 문화유산답사기 9 : 서울편 1	창비	유홍준 지음	0
 다산, 어른의 하루 	청림출판	 조윤제 지음, 윤연화 그림 	0
 아무튼, 잠 	제철소	정희재 지음	0
데일 카네기 자기관리론	현대지성	 데일 카네기 지음, 임상훈 옮김 	0
나중에	황금가지	 스티븐 킹 지음, 진서희 옮김 	0
잘될 수밖에 없는 너에게	북로망스	최서영 지음	0
나의 히어로 아카데미아 36 + 2023 캘린더 한정판	서울미디어코믹스(서울문화사)	호리코시 코헤이 지음	0
눈에 보이지 않는 지도책	윌북	 제임스 체셔.올리버 우버티 지음, 송예슬 옮김 	0
창발의 시대	로크미디어	 패트릭 와이먼 지음, 장영재 옮김 	0
